id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,278,,600.0,TIMEOUT,NO
2,aba_25_0.1_5_10_8.aba,2,YES,1.05,corr,YES
3,aba_500_0.3_5_5_5.aba,330,,600.0,TIMEOUT,NO
4,aba_25_0.1_5_10_9.aba,2,YES,1.08,corr,YES
5,aba_100_0.1_10_5_2.aba,4,,600.0,TIMEOUT,NO
6,aba_25_0.1_10_10_1.aba,1,NO,0.72,corr,NO
7,aba_500_0.1_10_10_8.aba,370,YES,62.65,corr,YES
8,aba_100_0.3_5_10_6.aba,95,NO,1.83,inc,YES
9,aba_5000_0.1_10_10_0.aba,3688,,600.0,TIMEOUT,NO
10,aba_100_0.1_10_10_5.aba,55,,600.0,TIMEOUT,YES
11,aba_500_0.3_10_10_2.aba,288,,600.0,TIMEOUT,NO
12,aba_500_0.3_10_10_6.aba,301,,600.0,TIMEOUT,NO
13,aba_100_0.3_10_5_0.aba,16,,600.0,TIMEOUT,YES
14,aba_5000_0.1_5_5_1.aba,1655,,600.0,TIMEOUT,NO
15,aba_100_0.1_5_5_0.aba,8,YES,2.63,corr,YES
16,aba_100_0.3_5_10_2.aba,15,NO,1.87,corr,NO
17,aba_100_0.3_5_5_4.aba,59,,600.0,TIMEOUT,YES
18,aba_2000_0.3_10_10_5.aba,1410,,600.0,TIMEOUT,YES
19,aba_25_0.1_10_5_8.aba,13,,600.0,TIMEOUT,NO
20,aba_5000_0.3_10_10_0.aba,3055,,600.0,TIMEOUT,?
21,aba_2000_0.1_10_5_3.aba,1837,,600.0,TIMEOUT,YES
22,aba_25_0.1_10_5_2.aba,2,NO,0.78,corr,NO
23,aba_2000_0.3_10_10_4.aba,1968,,600.0,TIMEOUT,NO
24,aba_25_0.3_5_10_3.aba,1,NO,0.86,corr,NO
25,aba_500_0.1_5_10_5.aba,488,YES,21.61,corr,YES
26,aba_100_0.1_5_5_9.aba,36,YES,2.52,corr,YES
27,aba_5000_0.1_10_5_7.aba,2541,,600.0,TIMEOUT,YES
28,aba_5000_0.1_5_5_5.aba,1826,,600.0,TIMEOUT,NO
29,aba_5000_0.1_5_10_7.aba,241,,600.0,TIMEOUT,YES
30,aba_2000_0.3_5_10_5.aba,1338,,600.0,TIMEOUT,YES
31,aba_2000_0.3_5_10_7.aba,153,,600.0,TIMEOUT,YES
32,aba_500_0.1_5_10_3.aba,120,,600.0,TIMEOUT,YES
33,aba_2000_0.3_10_10_3.aba,1006,NO,3.95,corr,NO
34,aba_5000_0.3_5_10_4.aba,1088,,600.0,TIMEOUT,YES
35,aba_25_0.1_5_10_2.aba,2,YES,0.77,corr,YES
36,aba_500_0.3_10_5_5.aba,280,,600.0,TIMEOUT,YES
37,aba_100_0.1_5_10_7.aba,1,NO,1.13,corr,NO
38,aba_2000_0.1_5_5_7.aba,130,,600.0,TIMEOUT,NO
39,aba_100_0.1_5_10_0.aba,88,YES,1.88,corr,YES
40,aba_100_0.1_5_10_2.aba,2,YES,2.55,corr,YES
41,aba_5000_0.1_5_10_4.aba,2948,,600.0,TIMEOUT,YES
42,aba_100_0.1_10_5_0.aba,78,,600.0,TIMEOUT,NO
43,aba_2000_0.1_5_5_1.aba,849,,600.0,TIMEOUT,YES
44,aba_25_0.1_5_10_4.aba,1,YES,0.91,corr,YES
45,aba_2000_0.1_5_10_2.aba,159,,600.0,TIMEOUT,YES
46,aba_25_0.3_5_5_6.aba,7,YES,1.06,corr,YES
47,aba_5000_0.3_5_10_1.aba,1714,,600.0,TIMEOUT,NO
48,aba_100_0.1_5_5_1.aba,63,,600.0,TIMEOUT,NO
49,aba_500_0.1_5_10_4.aba,20,YES,20.66,corr,YES
50,aba_25_0.3_10_10_5.aba,19,NO,2.16,corr,NO
51,aba_5000_0.3_5_5_8.aba,3456,,600.0,TIMEOUT,?
52,aba_2000_0.3_5_5_9.aba,1266,,600.0,TIMEOUT,NO
53,aba_2000_0.3_10_5_0.aba,1804,,600.0,TIMEOUT,YES
54,aba_5000_0.3_5_10_6.aba,1091,,600.0,TIMEOUT,NO
55,aba_2000_0.1_5_10_4.aba,97,,600.0,TIMEOUT,YES
56,aba_25_0.1_10_5_7.aba,22,NO,88.67,corr,NO
57,aba_25_0.1_10_5_3.aba,18,NO,30.32,corr,NO
58,aba_25_0.3_10_5_6.aba,5,NO,3.41,corr,NO
59,aba_2000_0.3_10_5_7.aba,1163,,600.0,TIMEOUT,YES
60,aba_25_0.1_5_5_4.aba,1,YES,0.72,corr,YES
61,aba_25_0.3_5_10_5.aba,19,NO,0.82,corr,NO
